ANO;EVENTO;GRUPO_EDAD;LOCALIDAD;CONCENTRACION_PM_2_5;NUMERO_MUERTES_POBLACION;POBLACION_CENSO_2018;ESTIMADO_CASOS_ATRIBUIBLES_100000_HABITANTES_CENTRAL;ESTIMACION_PROPORCION_ATRIBUIBLE_CENTRAL - Copia
2021;Mortalidad, IRAB;Niños 0 - 4años; Chapinero;11.9;0;9383;0;4,84%
2023;Mortalidad, IRAB;Niños 0 - 4años; Usaquén;12.1;3;30452;0,5;4,98%
2023;Mortalidad, ACV;Adultos 25 - 95 años y más; La Candelaria;12.6;7;12454;0;13,67%
2023;Mortalidad, Ca pulmón;Adultos >= 25 años; La Candelaria;12.6;1;12454;0,6;7,86%
2023;Mortalidad, IRAB;Niños 0 - 4años; La Candelaria;12.6;0;651;0;5,30%
2021;Mortalidad, ACV;Adultos 25 - 95 años y más; La Candelaria;12.7;8;11970;0;13,89%
2021;Mortalidad, EPOC;Adultos >= 25 años; La Candelaria;12.7;2;11970;0,9;5,39%
2021;Mortalidad, Ca pulmón;Adultos >= 25 años; La Candelaria;12.7;1;11970;0,7;7,95%
2020;Mortalidad, IRAB;Niños 0 - 4años; San Cristóbal;12.7;2;28880;0,4;5,37%
2021;Mortalidad, IRAB;Niños 0 - 4años; La Candelaria;12.7;1;671;8;5,37%
2021;Mortalidad, IRAB;Niños 0 - 4años; Suba;12.7;4;73187;0,3;5,37%
2023;Mortalidad, IRAB;Niños 0 - 4años; Chapinero;12.8;0;10228;0;5,43%
2018;Mortalidad, IRAB;Niños 0 - 4años; San Cristóbal;12.8;5;26739;1;5,43%
2021;Mortalidad, IRAB;Niños 0 - 4años; Barrios Unidos;12.8;0;7691;0;5,43%
2018;Mortalidad, ACV;Adultos 25 - 95 años y más; La Candelaria;12.9;8;11240;0;14,31%
2019;Mortalidad, ACV;Adultos 25 - 95 años y más; La Candelaria;12.9;5;11486;0;14,27%
2019;Mortalidad, Ca pulmón;Adultos >= 25 años; La Candelaria;12.9;1;11486;0,7;8,13%
2019;Mortalidad, EIC;Adultos 25 - 95 años y más; La Candelaria;12.9;21;11486;0;13,25%
2018;Mortalidad, IRAB;Niños 0 - 4años; Engativá;12.9;5;44312;0,6;5,50%
2019;Mortalidad, IRAB;Niños 0 - 4años; La Candelaria;12.9;0;691;0;5,50%
2018;Mortalidad, IRAB;Niños 0 - 4años; La Candelaria;12.9;0;701;0;5,50%
2023;Mortalidad, IRAB;Niños 0 - 4años; San Cristóbal;13;2;32239;0,3;5,56%
2023;Mortalidad, IRAB;Niños 0 - 4años; Los Mártires;13;5;4966;5,6;5,56%
2021;Mortalidad, IRAB;Niños 0 - 4años; Santa Fe;13;1;7193;0,8;5,56%
2023;Mortalidad, IRAB;Niños 0 - 4años; Santa Fe;13;1;8393;0,7;5,56%
2020;Mortalidad, Ca pulmón;Adultos >= 25 años; La Candelaria;13.2;3;11728;2,1;8,39%
2020;Mortalidad, ACV;Adultos 25 - 95 años y más; La Candelaria;13.2;6;11728;0;14,66%
