Tema Queja;Año;Área;Número de quejas
Contaminación por aire;2013;Usaquén;3
Contaminación por aire;2013;Chapinero;4
Contaminación por aire;2013;Santa Fe;0
Contaminación por aire;2013;San Cristóbal;0
Contaminación por aire;2013;Usme;0
Contaminación por aire;2013;Tunjuelito;7
Contaminación por aire;2013;Bosa;17
Contaminación por aire;2013;Kennedy;19
Contaminación por aire;2013;Fontibón;5
Contaminación por aire;2013;Engativá;10
Contaminación por aire;2013;Suba;5
Contaminación por aire;2013;Barrios Unidos;3
Contaminación por aire;2013;Teusaquillo;3
Contaminación por aire;2013;Los Mártires;0
Contaminación por aire;2013;Antonio Nariño;0
Contaminación por aire;2013;Puente Aranda;6
Contaminación por aire;2013;La Candelaria;0
Contaminación por aire;2013;Rafael Uribe Uribe;2
Contaminación por aire;2013;Ciudad Bolívar;12
Contaminación por aire;2013;Distrito;96
Humo de tabaco;2013;Usaquén;5
Humo de tabaco;2013;Chapinero;6
Humo de tabaco;2013;Santa Fe;1
Humo de tabaco;2013;San Cristóbal;0
Humo de tabaco;2013;Usme;0
Humo de tabaco;2013;Tunjuelito;2
Humo de tabaco;2013;Bosa;2
Humo de tabaco;2013;Kennedy;3
Humo de tabaco;2013;Fontibón;4
Humo de tabaco;2013;Engativá;2
Humo de tabaco;2013;Suba;2
Humo de tabaco;2013;Barrios Unidos;1
Humo de tabaco;2013;Teusaquillo;2
Humo de tabaco;2013;Los Mártires;2
Humo de tabaco;2013;Antonio Nariño;0
Humo de tabaco;2013;Puente Aranda;1
Humo de tabaco;2013;La Candelaria;1
Humo de tabaco;2013;Rafael Uribe Uribe;3
Humo de tabaco;2013;Ciudad Bolívar;0
Humo de tabaco;2013;Distrito;37
Olores ofensivos;2013;Usaquén;0
Olores ofensivos;2013;Chapinero;3
Olores ofensivos;2013;Santa Fe;0
Olores ofensivos;2013;San Cristóbal;0
Olores ofensivos;2013;Usme;0
Olores ofensivos;2013;Tunjuelito;2
Olores ofensivos;2013;Bosa;9
Olores ofensivos;2013;Kennedy;5
Olores ofensivos;2013;Fontibón;3
Olores ofensivos;2013;Engativá;2
Olores ofensivos;2013;Suba;0
Olores ofensivos;2013;Barrios Unidos;1
Olores ofensivos;2013;Teusaquillo;3
Olores ofensivos;2013;Los Mártires;0
Olores ofensivos;2013;Antonio Nariño;0
Olores ofensivos;2013;Puente Aranda;0
Olores ofensivos;2013;La Candelaria;0
Olores ofensivos;2013;Rafael Uribe Uribe;0
Olores ofensivos;2013;Ciudad Bolívar;0
Olores ofensivos;2013;Distrito;28
Contaminación por ruido;2013;Usaquén;8
Contaminación por ruido;2013;Chapinero;4
Contaminación por ruido;2013;Santa Fe;2
Contaminación por ruido;2013;San Cristóbal;1
Contaminación por ruido;2013;Usme;1
Contaminación por ruido;2013;Tunjuelito;1
Contaminación por ruido;2013;Bosa;9
Contaminación por ruido;2013;Kennedy;18
Contaminación por ruido;2013;Fontibón;8
Contaminación por ruido;2013;Engativá;7
Contaminación por ruido;2013;Suba;3
Contaminación por ruido;2013;Barrios Unidos;4
Contaminación por ruido;2013;Teusaquillo;2
Contaminación por ruido;2013;Los Mártires;6
Contaminación por ruido;2013;Antonio Nariño;0
Contaminación por ruido;2013;Puente Aranda;4
Contaminación por ruido;2013;La Candelaria;0
Contaminación por ruido;2013;Rafael Uribe Uribe;6
Contaminación por ruido;2013;Ciudad Bolívar;0
Contaminación por ruido;2013;Distrito;84
Radiaciones electromagnéticas;2013;Usaquén;15
Radiaciones electromagnéticas;2013;Chapinero;8
Radiaciones electromagnéticas;2013;Santa Fe;2
Radiaciones electromagnéticas;2013;San Cristóbal;2
Radiaciones electromagnéticas;2013;Usme;1
Radiaciones electromagnéticas;2013;Tunjuelito;1
Radiaciones electromagnéticas;2013;Bosa;0
Radiaciones electromagnéticas;2013;Kennedy;8
Radiaciones electromagnéticas;2013;Fontibón;4
Radiaciones electromagnéticas;2013;Engativá;11
Radiaciones electromagnéticas;2013;Suba;10
Radiaciones electromagnéticas;2013;Barrios Unidos;0
Radiaciones electromagnéticas;2013;Teusaquillo;5
Radiaciones electromagnéticas;2013;Los Mártires;1
Radiaciones electromagnéticas;2013;Antonio Nariño;0
Radiaciones electromagnéticas;2013;Puente Aranda;2
Radiaciones electromagnéticas;2013;La Candelaria;5
Radiaciones electromagnéticas;2013;Rafael Uribe Uribe;3
Radiaciones electromagnéticas;2013;Ciudad Bolívar;0
Radiaciones electromagnéticas;2013;Distrito;78
Contaminación por aire;2014;Usaquén;4
Contaminación por aire;2014;Chapinero;4
Contaminación por aire;2014;Santa Fe;3
Contaminación por aire;2014;San Cristóbal;2
Contaminación por aire;2014;Usme;0
Contaminación por aire;2014;Tunjuelito;2
Contaminación por aire;2014;Bosa;14
Contaminación por aire;2014;Kennedy;18
Contaminación por aire;2014;Fontibón;0
Contaminación por aire;2014;Engativá;5
Contaminación por aire;2014;Suba;3
Contaminación por aire;2014;Barrios Unidos;2
Contaminación por aire;2014;Teusaquillo;3
Contaminación por aire;2014;Los Mártires;3
Contaminación por aire;2014;Antonio Nariño;3
Contaminación por aire;2014;Puente Aranda;9
Contaminación por aire;2014;La Candelaria;2
Contaminación por aire;2014;Rafael Uribe Uribe;0
Contaminación por aire;2014;Ciudad Bolívar;11
Contaminación por aire;2014;Distrito;88
Humo de tabaco;2014;Usaquén;3
Humo de tabaco;2014;Chapinero;5
Humo de tabaco;2014;Santa Fe;4
Humo de tabaco;2014;San Cristóbal;1
Humo de tabaco;2014;Usme;0
Humo de tabaco;2014;Tunjuelito;1
Humo de tabaco;2014;Bosa;0
Humo de tabaco;2014;Kennedy;3
Humo de tabaco;2014;Fontibón;2
Humo de tabaco;2014;Engativá;3
Humo de tabaco;2014;Suba;3
Humo de tabaco;2014;Barrios Unidos;2
Humo de tabaco;2014;Teusaquillo;4
Humo de tabaco;2014;Los Mártires;2
Humo de tabaco;2014;Antonio Nariño;2
Humo de tabaco;2014;Puente Aranda;2
Humo de tabaco;2014;La Candelaria;1
Humo de tabaco;2014;Rafael Uribe Uribe;3
Humo de tabaco;2014;Ciudad Bolívar;0
Humo de tabaco;2014;Distrito;41
Olores ofensivos;2014;Usaquén;3
Olores ofensivos;2014;Chapinero;9
Olores ofensivos;2014;Santa Fe;3
Olores ofensivos;2014;San Cristóbal;2
Olores ofensivos;2014;Usme;0
Olores ofensivos;2014;Tunjuelito;6
Olores ofensivos;2014;Bosa;41
Olores ofensivos;2014;Kennedy;12
Olores ofensivos;2014;Fontibón;5
Olores ofensivos;2014;Engativá;6
Olores ofensivos;2014;Suba;6
Olores ofensivos;2014;Barrios Unidos;14
Olores ofensivos;2014;Teusaquillo;6
Olores ofensivos;2014;Los Mártires;1
